service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20250630,20251031
2,0,0,0,0,0,1,0,20250705,20251025
3,0,0,0,0,1,0,0,20250704,20251031
4,1,1,1,1,1,0,0,20250630,20250829
5,0,0,0,0,1,0,0,20250704,20250829
6,1,1,1,1,0,0,0,20250630,20250828
7,1,0,0,0,0,0,0,20250630,20250825
8,0,0,0,1,0,0,0,20250703,20250828
9,0,1,0,0,0,0,0,20250701,20250826
10,0,0,1,0,0,0,0,20250702,20250827
11,1,0,0,0,0,0,0,20250630,20251027
12,0,1,0,0,0,0,0,20250701,20251028
13,0,0,1,0,0,0,0,20250702,20251029
14,0,0,0,0,0,0,1,20250629,20251026
15,1,1,1,1,1,0,0,20250630,20251030
16,0,0,0,0,0,1,1,20250629,20250831
17,1,1,1,1,1,0,0,20250630,20251219
18,1,0,0,0,0,0,1,20250629,20251027
19,1,1,1,1,1,1,0,20250630,20251031
20,1,1,1,1,1,0,0,20250630,20251009
21,0,0,0,0,0,1,0,20250705,20251004
22,0,0,0,0,0,0,1,20250629,20251005
23,0,0,0,0,1,0,0,20250704,20251003
24,0,0,0,1,0,0,0,20250703,20251030
25,0,0,0,0,0,0,1,20250629,20250831
26,1,0,0,0,0,0,0,20250630,20250915
27,0,0,0,0,0,1,0,20250705,20250913
28,0,0,0,0,0,0,1,20250629,20250914
29,1,1,1,1,1,0,0,20250630,20250919
30,0,0,0,0,1,0,0,20250704,20250919
31,1,1,1,1,1,1,1,20250629,20250919
32,1,1,1,1,1,1,1,20250629,20260630
33,0,0,0,0,0,0,1,20250629,20260628
34,1,0,0,0,1,0,0,20250630,20260629
35,0,0,0,0,1,0,0,20250704,20260626
36,1,1,1,1,1,1,0,20250630,20260630
37,0,0,0,0,1,0,0,20250704,20251024
38,1,1,1,1,1,1,1,20250629,20251031
39,1,1,1,1,0,0,0,20250630,20260630
40,1,1,1,1,1,0,0,20250630,20260123
41,1,1,1,1,1,1,1,20250629,20260123
42,1,1,1,1,1,0,0,20250630,20260324
43,0,0,0,0,0,0,0,20250804,20251027
44,1,0,0,0,1,0,1,20250629,20251031
45,0,0,0,0,0,0,0,20250804,20250804
46,1,1,1,1,1,0,0,20250630,20250721
47,0,0,0,0,0,1,0,20250705,20250719
48,0,0,0,0,0,0,1,20250629,20250720
49,0,0,0,0,1,0,0,20250704,20250718
50,1,0,0,0,0,0,1,20250629,20250831
51,1,1,1,1,1,0,0,20250630,20260630
52,1,1,1,1,1,0,0,20250630,20250826
53,0,0,0,0,0,1,0,20250705,20260627
54,1,1,1,1,1,1,1,20250629,20251015
55,1,1,1,1,1,0,0,20250630,20251015
56,0,0,0,0,1,0,0,20250704,20251010
57,1,1,1,1,0,0,0,20250630,20251030
58,1,1,1,1,1,0,0,20250630,20251211
59,0,0,0,0,0,1,0,20250705,20251206
60,0,0,0,0,1,0,0,20250704,20251205
61,1,1,1,1,1,0,1,20250629,20251211
62,1,1,1,1,1,1,1,20250701,20250831
63,1,1,1,1,1,1,1,20250629,20250930
64,1,1,1,1,1,1,1,20250629,20250921
65,1,1,1,1,1,0,0,20250630,20251212
66,0,0,0,0,0,1,0,20250705,20251213
67,0,0,0,0,0,0,1,20250629,20251207
68,1,1,1,1,1,0,0,20250630,20251212
69,1,1,1,1,1,1,0,20250630,20251213
70,1,1,1,1,1,1,0,20250630,20251213
71,1,1,1,1,0,1,0,20250630,20251213
72,0,0,0,0,1,0,0,20250704,20251212
73,0,0,0,0,0,0,0,20251027,20251027
74,1,1,1,1,0,0,0,20250630,20251211
75,0,0,0,0,0,0,1,20250629,20251207
76,1,0,0,0,0,0,0,20250630,20251208
77,0,1,1,1,1,0,0,20250701,20251212
78,0,0,0,0,1,1,0,20250704,20251213
79,1,1,1,1,0,1,0,20250630,20251213
80,1,1,1,1,1,1,0,20250630,20251230
81,1,1,1,1,1,1,1,20250629,20260314
82,1,1,1,1,1,0,0,20250630,20250829
83,0,0,0,0,0,1,0,20250705,20250830
84,0,0,0,1,1,0,0,20250703,20250829
85,1,1,1,1,1,0,0,20250701,20250829
86,0,0,0,0,0,1,1,20250629,20251026
87,1,1,1,1,1,0,0,20250630,20260410
88,0,0,0,0,0,1,0,20250705,20260411
89,0,0,0,0,0,0,1,20250629,20260405
90,0,1,0,0,1,0,0,20250701,20260630
91,0,0,0,0,1,1,1,20250629,20260628
92,0,1,0,1,0,0,0,20250701,20260630
93,0,0,0,0,1,0,0,20250704,20260626
94,1,0,0,0,0,0,0,20250630,20260629
95,0,0,0,0,0,0,1,20250629,20260628
96,0,0,0,1,0,0,0,20250703,20260625
97,0,1,0,0,0,0,0,20250701,20260630
98,0,0,1,0,0,0,0,20250702,20260624
99,1,0,0,0,0,0,0,20250630,20260629
100,0,0,0,1,0,0,0,20250703,20260625
101,0,1,0,0,0,0,0,20250701,20260630
102,0,0,0,0,0,0,1,20250629,20250629
103,1,1,1,1,1,0,0,20250630,20251014
104,0,0,0,0,0,1,1,20250629,20251012
105,1,1,1,1,1,1,1,20250629,20251014
106,1,1,1,1,1,1,0,20250630,20251014
107,0,0,0,0,0,0,1,20250629,20251012
108,0,0,0,0,0,1,0,20250705,20251011
109,1,0,0,0,0,0,0,20250630,20250630
110,0,0,0,0,0,0,1,20250629,20260628
111,1,1,1,1,1,1,1,20250629,20260503
112,1,1,1,1,1,0,0,20250630,20260501
113,1,1,1,1,1,0,0,20250630,20250930
114,0,0,0,0,1,0,0,20250704,20250926
115,0,0,0,0,0,0,1,20250629,20250928
116,1,1,1,1,0,0,0,20250630,20250930
117,0,1,0,0,0,0,0,20250701,20251125
118,0,0,1,0,0,0,0,20250702,20251126
119,0,0,0,1,0,0,0,20250703,20251127
120,0,0,0,0,1,0,0,20250704,20251128
121,1,0,0,0,0,0,0,20250630,20251124
122,0,0,0,0,0,1,0,20250705,20251129
123,0,0,0,0,0,0,1,20250629,20251123
124,1,1,1,1,1,1,1,20250629,20250912
125,1,1,1,1,1,1,0,20250630,20250912
126,1,1,1,1,1,1,1,20250629,20260109
127,1,1,1,1,1,0,0,20250630,20260109
128,0,0,0,0,0,1,0,20250705,20260103
129,0,0,0,0,0,0,1,20250629,20260104
130,0,0,0,0,0,1,0,20250705,20251227
131,0,0,0,0,0,0,1,20250629,20251228
132,0,0,0,0,0,0,1,20250629,20260628
133,0,0,0,0,0,0,0,20250705,20260627
134,0,0,0,0,0,0,0,20250629,20260628
135,0,0,0,0,0,0,0,20250630,20260630
136,0,0,0,0,0,0,0,20250706,20260601
137,0,0,0,0,1,0,0,20250704,20260626
138,0,0,0,0,0,0,0,20250630,20260629
139,0,0,0,0,0,1,0,20250705,20260627
140,0,0,0,0,0,0,1,20250629,20260628
141,0,0,0,1,0,0,0,20250703,20260625
142,0,1,0,0,0,0,0,20250701,20260630
143,0,0,1,0,0,0,0,20250702,20260624
144,0,0,0,0,1,0,0,20251003,20260327
145,1,0,0,0,0,0,0,20251006,20260330
146,0,0,0,0,0,1,0,20251004,20260328
147,0,0,0,0,0,0,1,20251005,20260601
148,0,0,0,1,0,0,0,20251002,20260326
